ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Customer_Tenure_Days,Web_Conversion_Rate,Income_Group,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,Cluster_Name,PCA1,PCA2,Segment
5524,1957,Graduate,Alone,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,0,1,1617,22,0,848,1.1428571428571428,Mid-High,2,4,4,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,3.2078178327560067,0.4712062869662059,Affluent Loyalists
2174,1954,Graduate,Alone,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,2,3,27,4,0,298,0.2,Mid-Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.155406683706624,-0.010084977690994479,Budget Families
4141,1965,Graduate,Partner,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,0,1,776,20,0,497,2.0,High,3,4,3,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,1.6091258544033002,-0.29584912693624044,Affluent Loyalists
6182,1984,Graduate,Partner,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,1,2,53,6,0,324,0.3333333333333333,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.0871822942760785,-0.45878276256797,Budget Families
5324,1981,Postgraduate,Partner,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,1,2,422,14,0,346,1.0,Mid-High,1,3,3,7,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.07695682127303798,1.3076605591301238,Deal-Seeking Families
7446,1967,Postgraduate,Partner,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,1,2,716,20,0,478,1.0,Mid-High,4,4,3,11,Champions,1,Cluster 1 - Affluent Loyalists,1.0583459069628935,0.448937463219085,Affluent Loyalists
965,1971,Graduate,Alone,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,1,2,590,17,0,778,1.1666666666666667,Mid-High,3,3,3,9,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,0.5759646116485478,1.272237698508832,Deal-Seeking Families
6177,1985,Postgraduate,Partner,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,1,2,169,8,0,602,0.5,Low,3,2,2,7,Potential Loyalists,0,Cluster 0 - Budget Families,-1.5025984680519138,-0.12290308614931465,Budget Families
4855,1974,Postgraduate,Partner,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,1,2,46,5,0,573,0.3333333333333333,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-1.94863669922133,-0.7240381278484667,Budget Families
5899,1950,Postgraduate,Partner,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,2,3,49,1,1,293,0.05,Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.9183931627591155,-0.699017181545478,Budget Families
1994,1983,Graduate,Partner,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,1,2,19,3,0,411,0.14285714285714285,Mid-Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-1.8965890723870666,-1.082359008927667,Budget Families
387,1976,Undergraduate,Partner,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,0,1,61,5,0,778,0.25,Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.158561491799855,-1.4919699086740477,Budget Families
2125,1959,Graduate,Alone,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,0,1,1102,15,0,411,1.5,Mid-High,1,3,4,8,Potential Loyalists,1,Cluster 1 - Affluent Loyalists,1.0841039005629112,-1.1434691795847185,Affluent Loyalists
8180,1952,Postgraduate,Alone,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,2,3,310,12,0,411,1.0,Mid-High,2,2,2,6,At Risk,3,Cluster 3 - Deal-Seeking Families,-0.6094999190330803,1.2931342689568974,Deal-Seeking Families
2569,1987,Graduate,Partner,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,0,1,46,4,0,812,0.125,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.150667288309776,-1.6784019459202162,Budget Families
2114,1946,Postgraduate,Alone,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,0,1,1315,25,2,767,2.3333333333333335,High,4,4,4,12,Champions,2,Cluster 2 - VIP Champions,3.738584954802979,-0.8743005303829655,VIP Champions
9736,1980,Graduate,Partner,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,2,3,96,6,0,737,0.375,Mid-Low,2,1,2,5,At Risk,0,Cluster 0 - Budget Families,-1.9956254818377346,0.7142108482247389,Budget Families
4939,1946,Graduate,Partner,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,0,1,317,11,0,852,0.5714285714285714,Mid-Low,4,2,2,8,Potential Loyalists,0,Cluster 0 - Budget Families,-0.6185541922837972,-0.7106724978629111,Budget Families
6565,1949,Postgraduate,Partner,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1,2,1782,24,1,643,2.2,High,1,4,4,9,Loyal Customers,1,Cluster 1 - Affluent Loyalists,3.365574328360273,0.9820385808005346,Affluent Loyalists
2278,1985,Undergraduate,Alone,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,1,2,133,6,0,788,0.3333333333333333,Low,1,1,2,4,Lost / Inactive,0,Cluster 0 - Budget Families,-1.7275565628573508,-0.44215831161228325,Budget Families
9360,1982,Graduate,Partner,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,0,1,316,11,0,875,0.5,Mid-Low,3,2,2,7,Potential Loyalists,0,Cluster 0 - Budget Families,-0.4714154148877159,-1.076521717923807,Budget Families
5376,1979,Graduate,Partner,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1,2,1730,28,0,724,0.0,Low,3,4,4,11,Champions,3,Cluster 3 - Deal-Seeking Families,3.612878277526317,4.622210680731424,Deal-Seeking Families
1993,1949,Postgraduate,Partner,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,1,2,972,14,1,738,0.25,Mid-High,2,3,3,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.5449009850229957,-0.17640942789939273,Deal-Seeking Families
4047,1954,Postgraduate,Partner,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,1,2,544,17,0,354,1.5,Mid-High,4,3,3,10,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,0.49268143026653566,0.7395194505008945,Deal-Seeking Families
1409,1951,Graduate,Partner,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,1,2,444,13,0,653,0.875,Mid-Low,2,3,3,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,-0.421088619306297,2.3136915502895543,Deal-Seeking Families
7892,1969,Graduate,Alone,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,0,1,75,6,0,728,0.2857142857142857,Low,1,1,2,4,Lost / Inactive,0,Cluster 0 - Budget Families,-1.7276570796224695,-1.0856792585610748,Budget Families
2404,1976,Graduate,Partner,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,2,3,257,10,0,583,0.7142857142857143,Mid-High,4,2,2,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,-1.038270831618837,1.449924103488925,Deal-Seeking Families
5255,1986,Graduate,Alone,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,1,2,637,27,0,679,27.0,Mid-Low,4,4,3,11,Champions,3,Cluster 3 - Deal-Seeking Families,3.096927879057162,2.9187013759534866,Deal-Seeking Families
9422,1989,Graduate,Partner,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,1,2,131,7,0,579,0.6666666666666666,Mid-Low,3,2,2,7,Potential Loyalists,0,Cluster 0 - Budget Families,-1.5831851670362547,-0.44321864515579595,Budget Families
1966,1965,Postgraduate,Partner,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,0,1,1672,25,1,404,3.0,High,1,4,4,9,Loyal Customers,1,Cluster 1 - Affluent Loyalists,4.008544322471147,-0.7410049614460518,Affluent Loyalists
6864,1989,Postgraduate,Alone,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,0,1,30,6,0,223,0.6,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-1.9536654360683687,-0.9590226511310669,Budget Families
3033,1963,Postgraduate,Partner,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,0,1,318,10,0,599,0.6666666666666666,Mid-Low,2,2,2,6,At Risk,0,Cluster 0 - Budget Families,-0.3014666561432535,-1.392072026388606,Budget Families
5710,1970,Graduate,Partner,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,1,2,120,7,1,812,0.4,Mid-Low,3,2,2,7,Potential Loyalists,0,Cluster 0 - Budget Families,-1.183987754526778,-0.7101406041321019,Budget Families
7373,1952,Postgraduate,Alone,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,2,3,302,11,0,793,0.6666666666666666,Mid-Low,4,2,2,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,-1.227521607133227,2.0872997256432764,Deal-Seeking Families
8755,1946,Postgraduate,Partner,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,0,1,1196,17,0,679,0.42857142857142855,High,4,3,4,11,Champions,1,Cluster 1 - Affluent Loyalists,1.5255186262645308,-1.1315231071983152,Affluent Loyalists
10738,1951,Postgraduate,Alone,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,2,3,65,5,0,489,0.2857142857142857,Mid-Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.008902847763013,-0.2055636604817556,Budget Families
4339,1970,Postgraduate,Partner,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,1,2,913,23,0,365,2.5,Mid-High,3,4,3,10,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,1.617949773759146,1.5061878377380415,Deal-Seeking Families
10755,1976,Undergraduate,Partner,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,1,2,81,6,0,485,0.42857142857142855,Low,1,1,2,4,Lost / Inactive,0,Cluster 0 - Budget Families,-1.8765855403945595,0.07796800337054743,Budget Families
8595,1973,Graduate,Alone,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,1,2,67,5,0,323,0.2,Mid-Low,1,1,1,3,Lost / Inactive,0,Cluster 0 - Budget Families,-1.7773524843019775,-0.6097982429084384,Budget Families
2968,1943,Postgraduate,Alone,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,0,1,902,22,1,698,1.1666666666666667,Mid-Low,2,4,3,9,Loyal Customers,1,Cluster 1 - Affluent Loyalists,2.7400659193982477,-0.2746177846969004,Affluent Loyalists
8601,1980,Graduate,Partner,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,1,2,1395,19,0,611,2.0,High,4,4,4,12,Champions,1,Cluster 1 - Affluent Loyalists,2.3816581038700027,0.6497454545762197,Affluent Loyalists
503,1985,Postgraduate,Partner,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,1,2,53,5,0,659,0.25,Low,1,1,1,3,Lost / Inactive,0,Cluster 0 - Budget Families,-2.2642190476622446,-0.4557614629204149,Budget Families
8430,1957,Graduate,Partner,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,1,2,22,3,0,737,0.0,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-2.6119439381416987,-1.2100377977280816,Budget Families
7281,1959,Postgraduate,Alone,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,0,1,186,8,0,421,0.5,Mid-Low,1,2,2,5,At Risk,0,Cluster 0 - Budget Families,-0.6622945822265512,-1.5781492248803886,Budget Families
2139,1975,Postgraduate,Partner,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,1,2,31,5,0,455,0.4,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-2.5762908766065133,-0.10469546006524964,Budget Families
1371,1976,Graduate,Alone,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,0,1,984,15,0,186,2.0,High,2,3,3,8,Potential Loyalists,1,Cluster 1 - Affluent Loyalists,1.2234831317344514,-1.295104701752992,Affluent Loyalists
9909,1996,Undergraduate,Partner,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,0,1,122,7,0,782,0.3333333333333333,Low,4,2,2,8,Potential Loyalists,0,Cluster 0 - Budget Families,-1.7682606397787366,-0.5658729028948307,Budget Families
7286,1968,Graduate,Partner,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,1,2,55,4,0,586,0.2,Mid-Low,1,1,1,3,Lost / Inactive,0,Cluster 0 - Budget Families,-1.8750946890559284,-0.8696328518657448,Budget Families
7244,1951,Graduate,Alone,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,3,4,124,7,0,364,0.3333333333333333,Mid-Low,1,2,2,5,At Risk,0,Cluster 0 - Budget Families,-2.036813790073161,1.2688301461011309,Budget Families
6566,1954,Postgraduate,Partner,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,2,3,1319,19,0,783,0.625,High,3,4,4,11,Champions,3,Cluster 3 - Deal-Seeking Families,0.7898434577226232,3.528552320368765,Deal-Seeking Families
8614,1957,Graduate,Alone,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,1,2,507,16,0,233,2.0,Mid-High,3,3,3,9,Loyal Customers,1,Cluster 1 - Affluent Loyalists,0.2127946785468821,-0.3064260011603372,Affluent Loyalists
4114,1964,Postgraduate,Partner,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,0,1,1693,28,0,872,2.0,High,4,4,4,12,Champions,1,Cluster 1 - Affluent Loyalists,3.723415904223698,-0.42601411736411504,Affluent Loyalists
1331,1977,Graduate,Alone,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,1,2,72,5,0,728,0.2857142857142857,Mid-Low,2,1,2,5,At Risk,0,Cluster 0 - Budget Families,-1.9439081326188412,-0.4816243827291793,Budget Families
2225,1977,Graduate,Alone,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,0,1,1617,20,2,207,4.0,High,2,4,4,10,Loyal Customers,2,Cluster 2 - VIP Champions,3.7352534203280334,-1.4549021516835037,VIP Champions
9381,1978,Graduate,Partner,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,2,3,606,16,0,567,1.3333333333333333,Mid-High,2,3,3,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,-0.1446627026232739,2.598982881396984,Deal-Seeking Families
6260,1955,Postgraduate,Partner,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,0,1,1957,26,1,772,3.0,High,2,4,4,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,4.0314441545435935,-1.1730802063119494,Affluent Loyalists
10383,1966,Graduate,Alone,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,0,1,1093,20,0,638,1.6666666666666667,High,3,4,4,11,Champions,1,Cluster 1 - Affluent Loyalists,1.904251841938431,-0.7434774237475577,Affluent Loyalists
7437,1988,Graduate,Alone,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,1,2,29,5,0,247,0.3333333333333333,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.239531831616701,-1.0011117751497465,Budget Families
8557,1982,Graduate,Alone,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,1,2,46,5,0,562,0.3333333333333333,Mid-Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-1.6441927313247222,-0.4885837513233147,Budget Families
8375,1968,Postgraduate,Partner,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,1,2,518,16,0,303,1.1428571428571428,Mid-High,2,3,3,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.4595735520609445,1.0311798858924384,Deal-Seeking Families
6853,1982,Postgraduate,Alone,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,0,1,1438,20,2,545,3.0,High,4,4,4,12,Champions,2,Cluster 2 - VIP Champions,2.9108654087319743,-1.5961778303213603,VIP Champions
3076,1975,Graduate,Partner,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,2,3,612,18,0,845,1.3333333333333333,Mid-High,4,3,3,10,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,0.035099651398058485,1.5183867250593412,Deal-Seeking Families
1012,1952,Graduate,Alone,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,1,2,884,20,0,681,1.1428571428571428,Mid-High,3,4,3,10,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,1.0857073839036284,1.482448815036144,Deal-Seeking Families
6518,1951,Postgraduate,Alone,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,1,2,606,18,0,568,1.4,Mid-High,4,3,3,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,0.9432910918645884,0.16076933189766832,Affluent Loyalists
4137,1948,Graduate,Partner,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,0,1,1076,15,0,390,1.75,High,3,3,4,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,1.6729740874597712,-0.6013622652895184,Affluent Loyalists
8082,1971,Graduate,Partner,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,1,2,34,4,0,589,0.14285714285714285,Low,1,1,1,3,Lost / Inactive,0,Cluster 0 - Budget Families,-2.1942429875985745,-1.0114099660536753,Budget Families
1386,1967,Graduate,Partner,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,2,3,11,3,0,234,0.14285714285714285,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-2.64604805076787,-0.4182209844261839,Budget Families
9369,1979,Undergraduate,Alone,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,1,2,1274,31,2,287,2.2,High,4,4,4,12,Champions,2,Cluster 2 - VIP Champions,4.8702059291395114,0.5140516879427662,VIP Champions
4477,1958,Graduate,Partner,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,1,2,653,17,0,460,1.25,High,4,3,3,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,0.5713844454194487,-0.15573651320684515,Affluent Loyalists
1357,1970,Graduate,Partner,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,3,4,1562,12,0,632,0.4,High,1,2,4,7,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.3497151769862724,2.8104470554363568,Deal-Seeking Families
1402,1954,Postgraduate,Partner,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,0,1,1253,18,0,841,1.3333333333333333,Mid-High,4,3,4,11,Champions,1,Cluster 1 - Affluent Loyalists,2.105921530570237,-0.22356778667901497,Affluent Loyalists
10629,1973,Undergraduate,Partner,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,1,2,109,6,0,838,0.375,Mid-Low,3,1,2,6,At Risk,0,Cluster 0 - Budget Families,-1.440329934021337,0.03868979659197342,Budget Families
6312,1959,Graduate,Partner,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,1,2,863,26,0,654,1.4285714285714286,Mid-High,3,4,3,10,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,1.8859978933984574,1.9397417749595571,Deal-Seeking Families
8132,1975,Postgraduate,Partner,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,2,3,661,19,1,635,1.2857142857142858,Mid-High,1,4,3,8,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.9453766447315967,2.398053752664479,Deal-Seeking Families
1050,1952,Graduate,Partner,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,0,1,65,7,0,245,1.0,Low,2,2,1,5,At Risk,0,Cluster 0 - Budget Families,-1.461495011661325,-1.4497726269406632,Budget Families
5846,1977,Graduate,Alone,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,1,2,13,3,0,742,0.16666666666666666,Mid-Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.1194322222816693,-1.0491435787448227,Budget Families
1859,1972,Postgraduate,Partner,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,0,1,1890,18,0,856,1.4,High,3,3,4,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,2.8582890601600783,-0.5595841626175876,Affluent Loyalists
7503,1976,Graduate,Alone,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,0,1,2209,22,1,810,1.25,High,3,4,4,11,Champions,1,Cluster 1 - Affluent Loyalists,3.797189012884174,-1.3882519813706142,Affluent Loyalists
10401,1976,Undergraduate,Partner,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,0,1,18,3,0,483,0.0,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-2.170239991379216,-1.8659759356024466,Budget Families
1618,1965,Graduate,Partner,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,0,1,692,19,1,728,1.25,Mid-High,4,4,3,11,Champions,1,Cluster 1 - Affluent Loyalists,1.5947597492972434,0.07344842213688807,Affluent Loyalists
3332,1985,Graduate,Alone,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,1,2,165,8,0,854,0.375,Low,1,2,2,5,At Risk,0,Cluster 0 - Budget Families,-1.5785101914387134,0.5067782892716698,Budget Families
2261,1969,Graduate,Partner,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,1,2,16,3,0,556,0.14285714285714285,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-2.412844100725658,-1.0695010189801093,Budget Families
5346,1973,Undergraduate,Partner,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,1,2,79,6,0,546,0.42857142857142855,Low,1,1,2,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.021890044926332,0.08565310018792195,Budget Families
